url,omrade,bostadstyp,utgangspris,estimerat_varde,skillnad_kr,skillnad_pct,ci_low,ci_high,deal_score,deal_kategori,deal_ikon,underval_pct,deal_reasons,sane_estimate,boarea_kvm,antal_rum,avgift_kr,comps_pris_kvm_90d,comps_antal_90d,scrape_datum
https://www.hemnet.se/bostad/lagenhet-4rum-grona-sorby-kumla-kommun-klovergatan-23b-21739054,Sörby,lagenheter,2495000,2571089,76089,3.0,2320135,2849186,32,Rimligt pris,⚪,4.9,Nära marknadspris | Starkt område | Få jämförbara,True,109.5,4.0,5188.0,24570.818070818073,1,2026-06-15
https://www.hemnet.se/bostad/lagenhet-4rum-sorby-orebro-kommun-hemmansvagen-40a-21649777,Sörby,lagenheter,2950000,2746575,-203425,-7.4,2478492,3043653,25,Rimligt pris,⚪,-5.3,Något över marknadspris (~5%) | Starkt område | Få jämförbara,True,97.0,4.0,7778.0,24570.818070818073,1,2026-06-15
https://www.hemnet.se/bostad/lagenhet-1rum-sorby-eklunda-orebro-kommun-hagmarksgatan-7b-21084395,Sörby,lagenheter,995000,698155,-296845,-42.5,630010,773669,18,Rimligt pris,⚪,-39.7,Något över marknadspris (~40%) | Starkt område | Få jämförbara,True,39.0,1.0,7778.0,24570.818070818073,1,2026-06-15
https://www.hemnet.se/bostad/lagenhet-1rum-ekeby-almby-orebro-kommun-musseronvagen-1-c-21439325,Almby,lagenheter,699000,620560,-78440,-12.6,559989,687681,18,Rimligt pris,⚪,-10.4,Något över marknadspris (~10%) | Få jämförbara,True,25.0,1.0,11379.0,22173.146655922643,2,2026-06-15
https://www.hemnet.se/bostad/lagenhet-1rum-centralt-vaster-orebro-kommun-ullavigatan-33b-21385223,Centralt Väster,lagenheter,695000,607347,-87653,-14.4,548066,673039,21,Rimligt pris,⚪,-12.1,Något över marknadspris (~12%) | Få jämförbara,True,38.0,1.0,7778.0,23092.515592515592,1,2026-06-15
https://www.hemnet.se/bostad/lagenhet-2rum-centralt-oster-orebro-kommun-radmansgatan-8-19266155,Centralt Öster,lagenheter,1895000,1564275,-330725,-21.1,1411592,1733472,15,Rimligt pris,⚪,-18.7,Något över marknadspris (~19%),True,53.2,2.0,7778.0,35032.41758241758,4,2026-06-15
https://www.hemnet.se/bostad/lagenhet-2rum-oster-orebro-kommun-engelbrektsgatan-62e-21722962,Centralt Öster,lagenheter,1525000,1193182,-331818,-27.8,1076720,1322240,14,Rimligt pris,⚪,-25.3,Något över marknadspris (~25%),True,50.0,2.0,7778.0,35032.41758241758,4,2026-06-15
https://www.hemnet.se/bostad/lagenhet-1rum-sorby-orebro-kommun-restalundsvagen-93-21736172,Sörby,lagenheter,1295000,827608,-467392,-56.5,746828,917124,18,Rimligt pris,⚪,-53.3,Något över marknadspris (~40%) | Starkt område | Få jämförbara,True,41.0,1.0,7778.0,24570.818070818073,1,2026-06-15
https://www.hemnet.se/bostad/lagenhet-2rum-centralt-eklunda-sorby-orebro-kommun-restalundsvagen-73-21743451,Sörby,lagenheter,1695000,1297172,-397828,-30.7,1170560,1437478,18,Rimligt pris,⚪,-28.1,Något över marknadspris (~28%) | Starkt område | Få jämförbara,True,55.0,2.0,7778.0,24570.818070818073,1,2026-06-15
https://www.hemnet.se/bostad/lagenhet-1rum-centralt-oster-orebro-kommun-formansgatan-20-21590811,Centralt Öster,lagenheter,1395000,930357,-464643,-49.9,839548,1030987,14,Rimligt pris,⚪,-46.9,Något över marknadspris (~40%),True,34.5,1.0,7778.0,35032.41758241758,4,2026-06-15
https://www.hemnet.se/bostad/lagenhet-2rum-oster-orebro-kommun-gasmastargatan-14-21651553,Centralt Öster,lagenheter,2295000,1817944,-477056,-26.2,1640501,2014579,14,Rimligt pris,⚪,-23.7,Något över marknadspris (~24%),True,59.0,2.0,7778.0,35032.41758241758,4,2026-06-15
https://www.hemnet.se/bostad/lagenhet-1rum-centralt-norr-orebro-kommun-schantzgatan-2a-21703474,Centralt,lagenheter,795000,645881,-149119,-23.1,582839,715741,9,Rimligt pris,⚪,-20.6,Något över marknadspris (~21%) | Svagt/okänt område | Få jämförbara,True,37.5,1.0,7778.0,28832.98969072165,0,2026-06-15
https://www.hemnet.se/bostad/lagenhet-4rum-bjorkhaga-orebro-kommun-stampelgatan-3-a-21722428,Björkhaga,lagenheter,1695000,1580143,-114857,-7.3,1425911,1751056,18,Rimligt pris,⚪,-5.1,Något över marknadspris (~5%) | Få jämförbara,True,98.0,4.0,7778.0,19456.984468562874,1,2026-06-15
https://www.hemnet.se/bostad/lagenhet-3rum-sorby-orebro-kommun-restalundsvagen-77-21723669,Sörby,lagenheter,1995000,1837471,-157529,-8.6,1658122,2036218,25,Rimligt pris,⚪,-6.4,Något över marknadspris (~6%) | Starkt område | Få jämförbara,True,78.0,3.0,7778.0,24570.818070818073,1,2026-06-15
https://www.hemnet.se/bostad/lagenhet-2rum-vaster-orebro-kommun-lovstagatan-6a-21743791,Väster,lagenheter,1395000,1053773,-341227,-32.4,950918,1167752,20,Rimligt pris,⚪,-29.7,Något över marknadspris (~30%),True,63.5,2.0,7778.0,17108.01393728223,4,2026-06-15
https://www.hemnet.se/bostad/lagenhet-3rum-ladugardsangen-orebro-kommun-karlsdalsallen-47-b-21370798,Ladugårdsängen,lagenheter,1995000,1832253,-162747,-8.9,1653414,2030435,26,Rimligt pris,⚪,-6.7,Något över marknadspris (~7%) | Starkt område | Få jämförbara,True,80.0,3.0,7778.0,20616.698292220113,1,2026-06-15
https://www.hemnet.se/bostad/lagenhet-2rum-oster-orebro-kommun-engelbrektsgatan-62d-studentvanlig-21430229,Centralt Öster,lagenheter,1795000,1468966,-326034,-22.2,1325586,1627854,14,Rimligt pris,⚪,-19.8,Något över marknadspris (~20%),True,55.0,2.0,7778.0,35032.41758241758,4,2026-06-15
https://www.hemnet.se/bostad/lagenhet-2rum-centralt-vaster-orebro-kommun-tegelgatan-18a-21508781,Centralt Väster,lagenheter,1170000,851853,-318147,-37.3,768706,943992,17,Rimligt pris,⚪,-34.6,Något över marknadspris (~35%) | Få jämförbara,True,54.0,2.0,7778.0,23092.515592515592,1,2026-06-15
https://www.hemnet.se/bostad/lagenhet-2rum-jarntorget-orebro-kommun-storgatan-10b-21520713,övrigt,lagenheter,2095000,1733638,-361362,-20.8,1564424,1921154,10,Rimligt pris,⚪,-18.4,Något över marknadspris (~18%) | Svagt/okänt område | Få jämförbara,True,65.0,2.0,7778.0,26151.024249401533,0,2026-06-15
https://www.hemnet.se/bostad/lagenhet-1rum-vaster-orebro-kommun-vastra-nobelgatan-32-studentvanlig-21584411,Väster,lagenheter,695000,646448,-48552,-7.5,583350,716370,27,Rimligt pris,⚪,-5.4,Något över marknadspris (~5%),True,21.0,1.0,7778.0,17108.01393728223,4,2026-06-15
https://www.hemnet.se/bostad/lagenhet-2rum-sorbyangen-orebro-kommun-palsbodagatan-12-21604011,Sörbyängen,lagenheter,1250000,900547,-349453,-38.8,812648,997953,25,Rimligt pris,⚪,-36.0,Något över marknadspris (~36%) | Starkt område,True,66.2,2.0,7778.0,23821.902654867255,10,2026-06-15
https://www.hemnet.se/bostad/lagenhet-2rum-vaster-orebro-kommun-hertig-karls-alle-9-21604394,Väster,lagenheter,1695000,1282063,-412937,-32.2,1156925,1420735,20,Rimligt pris,⚪,-29.6,Något över marknadspris (~30%),True,52.0,2.0,7778.0,17108.01393728223,4,2026-06-15
https://www.hemnet.se/bostad/lagenhet-2rum-ladugardsangen-orebro-kommun-ladugatan-10-21620347,Ladugårdsängen,lagenheter,1295000,1022487,-272513,-26.7,922686,1133082,19,Rimligt pris,⚪,-24.1,Något över marknadspris (~24%) | Starkt område | Få jämförbara,True,71.0,2.0,7778.0,20616.698292220113,1,2026-06-15
https://www.hemnet.se/bostad/lagenhet-2rum-tegnerlundsparken-orebro-kommun-ullavigatan-32a-campus-uso-21651741,övrigt,lagenheter,750000,684973,-65027,-9.5,618115,759062,15,Rimligt pris,⚪,-7.3,Något över marknadspris (~7%) | Svagt/okänt område | Få jämförbara,True,42.0,2.0,7778.0,26151.024249401533,0,2026-06-15
https://www.hemnet.se/bostad/lagenhet-2rum-sorby-orebro-kommun-hagmarksgatan-9b-studentvanlig-21670092,Sörby,lagenheter,1595000,1244989,-350011,-28.1,1123470,1379651,18,Rimligt pris,⚪,-25.6,Något över marknadspris (~26%) | Starkt område | Få jämförbara,True,53.0,2.0,7778.0,24570.818070818073,1,2026-06-15
