slutpris,avgift_kr,boarea_kvm,antal_rum,sald_datum,prisforandring_pct,pris_per_kvm,omrade,url,bostadstyp,raw_text,sald_ar,sald_manad,sald_kvartal,omrade_clean,kvm_per_rum,avgift_per_kvm,avgift_andel,sasong,budkrig,prissankt,storlek_kategori
2700000,8768.0,117.0,4.0,2026-03-13,8.0,23077.0,Lägenhet Rynninge,https://www.hemnet.se/salda/lagenhet-4rum-rynninge-orebro-kommun-kaserngarden-14-7127558886027008187,lagenheter,"Såld 13 mar. 2026 Kaserngården 14 Lägenhet Rynninge, Örebro kommun 117 m² 4 rum 8 768 kr/mån Balkong Hiss Slutpris 2 700 000 kr +8 % 23 077 kr/m² Fastighetsbyrån Örebro",2026,3,1,Rynninge,29.2,74.9,3.9,vår,1,0,xl (100-150)
1670000,5490.0,84.0,3.0,2026-03-11,1.0,19881.0,Lägenhet Hovsta,https://www.hemnet.se/salda/lagenhet-3rum-hovsta-orebro-kommun-lovskogsvagen-17-3141160613254138537,lagenheter,"Såld 11 mar. 2026 Lövskogsvägen 17 Lägenhet Hovsta, Örebro kommun 84 m² 3 rum 5 490 kr/mån Uteplats Slutpris 1 670 000 kr +1 % 19 881 kr/m² Mäklarhuset Örebro",2026,3,1,Hovsta,28.0,65.4,3.94,vår,1,0,stor (80-100)
1795000,2790.0,44.0,1.0,2026-03-11,-10.0,40795.0,Lägenhet Centralt Öster,https://www.hemnet.se/salda/lagenhet-1rum-centralt-oster-orebro-kommun-formansgatan-8-8703405008090378439,lagenheter,"Såld 11 mar. 2026 Förmansgatan 8 Lägenhet Centralt Öster, Örebro kommun 44 m² 1 rum 2 790 kr/mån Balkong Hiss Slutpris 1 795 000 kr -10 % 40 795 kr/m² LF Fastighetsförmedling Örebro",2026,3,1,Centralt Öster,44.0,63.4,1.87,vår,0,1,liten (40-60)
1380000,4906.0,53.0,2.0,2026-03-11,-1.0,26038.0,B Lägenhet Sörby,https://www.hemnet.se/salda/lagenhet-2rum-sorby-orebro-kommun-hagmarksgatan-11b-7785547721144478121,lagenheter,"Såld 11 mar. 2026 Hagmarksgatan 11B Lägenhet Sörby, Örebro kommun 53 m² 2 rum 4 906 kr/mån Balkong Slutpris 1 380 000 kr -1 % 26 038 kr/m² LF Fastighetsförmedling Örebro",2026,3,1,Lägenhet Sörby,26.5,92.6,4.27,vår,0,1,liten (40-60)
1000000,4603.0,78.5,3.0,2026-03-11,-9.0,12739.0,Lägenhet Lundby,https://www.hemnet.se/salda/lagenhet-3rum-lundby-orebro-kommun-mandelstensvagen-95-8654064258263258164,lagenheter,"Såld 11 mar. 2026 Mandelstensvägen 95 Lägenhet Lundby, Örebro kommun 78,5 m² 3 rum 4 603 kr/mån Slutpris 1 000 000 kr -9 % 12 739 kr/m² Bostada Örebro",2026,3,1,Lundby,26.2,58.6,5.52,vår,0,1,medel (60-80)
2495000,5438.0,99.0,4.0,2026-03-11,0.0,25202.0,Lägenhet Centralt Väster Örebro,https://www.hemnet.se/salda/lagenhet-4rum-centralt-vaster-orebro-orebro-kommun-gustavsgatan-26-4091825174581306955,lagenheter,"Såld 11 mar. 2026 Gustavsgatan 26 Lägenhet Centralt Väster Örebro, Örebro kommun 99 m² 4 rum 5 438 kr/mån Balkong Slutpris 2 495 000 kr ±0 % 25 202 kr/m² Erik Olsson Fastighetsförmedling",2026,3,1,Centralt Väster Örebro,24.8,54.9,2.62,vår,0,0,stor (80-100)
985000,6876.0,85.5,3.0,2026-03-09,-1.0,11520.0,Lägenhet Solhaga,https://www.hemnet.se/salda/lagenhet-3rum-solhaga-orebro-kommun-stolpgrand-16-3932788868046650626,lagenheter,"Såld 9 mar. 2026 Stolpgränd 16 Lägenhet Solhaga, Örebro kommun 85,5 m² 3 rum 6 876 kr/mån Balkong Slutpris 985 000 kr -1 % 11 520 kr/m² Bonova Fastighetsförmedling",2026,3,1,Solhaga,28.5,80.4,8.38,vår,0,1,stor (80-100)
2000000,5659.0,66.0,2.0,2026-03-09,-5.0,30303.0,Lägenhet Örnsro,https://www.hemnet.se/salda/lagenhet-2rum-ornsro-orebro-kommun-abackegatan-3-3954931786737276259,lagenheter,"Såld 9 mar. 2026 Åbackegatan 3 Lägenhet Örnsro, Örebro kommun 66 m² 2 rum 5 659 kr/mån Balkong Hiss Slutpris 2 000 000 kr -5 % 30 303 kr/m² Fastighetsbyrån Örebro",2026,3,1,Örnsro,33.0,85.7,3.4,vår,0,1,medel (60-80)
1000000,3259.0,42.0,1.0,2026-03-09,-5.0,23810.0,Lägenhet Centralt norr,https://www.hemnet.se/salda/lagenhet-1rum-centralt-norr-orebro-kommun-phragmensvagen-5-853630745587988760,lagenheter,"Såld 9 mar. 2026 Phragménsvägen 5 Lägenhet Centralt norr, Örebro kommun 42 m² 1 rum 3 259 kr/mån Slutpris 1 000 000 kr -5 % 23 810 kr/m² SkandiaMäklarna Örebro",2026,3,1,Centralt norr,42.0,77.6,3.91,vår,0,1,liten (40-60)
3160000,6438.0,117.0,5.0,2026-03-08,6.0,27009.0,Lägenhet Sörbyängen,https://www.hemnet.se/salda/lagenhet-5rum-sorbyangen-orebro-kommun-peppargatan-1-858732162719668614,lagenheter,"Maps Data: Google © 2026 Såld 8 mar. 2026 Peppargatan 1 Lägenhet Sörbyängen, Örebro kommun 117 m² 5 rum 6 438 kr/mån Balkong Hiss Slutpris 3 160 000 kr +6 % 27 009 kr/m² Nordå Fastighetsmäklare",2026,3,1,Sörbyängen,23.4,55.0,2.44,vår,1,0,xl (100-150)
