slutpris,avgift_kr,boarea_kvm,antal_rum,sald_datum,prisforandring_pct,pris_per_kvm,omrade,url,bostadstyp,raw_text,sald_ar,sald_manad,sald_kvartal,omrade_clean,kvm_per_rum,avgift_per_kvm,avgift_andel,sasong,budkrig,prissankt,storlek_kategori,upplatelseform,har_balkong,vaning,antal_vaningar,har_hiss,byggar,driftkostnad_ar,antal_besok,har_uteplats,har_garage,renoverad,biarea_kvm,tomtarea_kvm,bostad_alder,total_yta,relativ_vaning,toppvaning,driftkostnad_per_kvm,tomt_per_boarea,gatuadress,latitude,longitude,avstand_centrum_km,avstand_station_km,avstand_sjukhus_km,avstand_universitet_km,avstand_marieberg_km
2700000,8768.0,117.0,4.0,2026-03-13,8.0,23077.0,Lägenhet Rynninge,https://www.hemnet.se/salda/lagenhet-4rum-rynninge-orebro-kommun-kaserngarden-14-7127558886027008187,lagenheter,"Såld 13 mar. 2026 Kaserngården 14 Lägenhet Rynninge, Örebro kommun 117 m² 4 rum 8 768 kr/mån Balkong Hiss Slutpris 2 700 000 kr +8 % 23 077 kr/m² Fastighetsbyrån Örebro",2026,3,1,Rynninge,29.2,74.9,3.9,vår,1,0,xl (100-150),Bostadsrätt,0,5.0,6.0,1,2006.0,8400.0,7251.0,1,0,0,,,20.0,117.0,0.8333333333333334,0.0,71.7948717948718,,Kaserngården 14,59.2801416,15.2412374,1.6762046841050797,1.999894174252529,3.8343309711183684,2.965150271719474,1.0409274347604374
1670000,5490.0,84.0,3.0,2026-03-11,1.0,19881.0,Lägenhet Hovsta,https://www.hemnet.se/salda/lagenhet-3rum-hovsta-orebro-kommun-lovskogsvagen-17-3141160613254138537,lagenheter,"Såld 11 mar. 2026 Lövskogsvägen 17 Lägenhet Hovsta, Örebro kommun 84 m² 3 rum 5 490 kr/mån Uteplats Slutpris 1 670 000 kr +1 % 19 881 kr/m² Mäklarhuset Örebro",2026,3,1,Hovsta,28.0,65.4,3.94,vår,1,0,stor (80-100),Bostadsrätt,0,,,1,1977.0,24540.0,1533.0,1,0,0,,,49.0,84.0,,,292.1428571428572,,Lövskogsvägen 17,59.3466769,15.2321365,8.022714207703538,7.864282291462225,8.89567363324506,10.393151155674143,6.65286297863402
1795000,2790.0,44.0,1.0,2026-03-11,-10.0,40795.0,Lägenhet Centralt Öster,https://www.hemnet.se/salda/lagenhet-1rum-centralt-oster-orebro-kommun-formansgatan-8-8703405008090378439,lagenheter,"Såld 11 mar. 2026 Förmansgatan 8 Lägenhet Centralt Öster, Örebro kommun 44 m² 1 rum 2 790 kr/mån Balkong Hiss Slutpris 1 795 000 kr -10 % 40 795 kr/m² LF Fastighetsförmedling Örebro",2026,3,1,Centralt Öster,44.0,63.4,1.87,vår,0,1,liten (40-60),Bostadsrätt,0,7.0,8.0,1,2020.0,3240.0,715.0,1,0,0,,,6.0,44.0,0.875,0.0,73.63636363636364,,Förmansgatan 8,59.2753,15.22,0.37630452837023687,0.7958141782330361,2.5437650120172832,2.862963205067346,2.2813506964508026
1380000,4906.0,53.0,2.0,2026-03-11,-1.0,26038.0,B Lägenhet Sörby,https://www.hemnet.se/salda/lagenhet-2rum-sorby-orebro-kommun-hagmarksgatan-11b-7785547721144478121,lagenheter,"Såld 11 mar. 2026 Hagmarksgatan 11B Lägenhet Sörby, Örebro kommun 53 m² 2 rum 4 906 kr/mån Balkong Slutpris 1 380 000 kr -1 % 26 038 kr/m² LF Fastighetsförmedling Örebro",2026,3,1,Lägenhet Sörby,26.5,92.6,4.27,vår,0,1,liten (40-60),Bostadsrätt,0,2.0,3.0,1,1951.0,,3157.0,1,0,0,,,75.0,53.0,0.6666666666666666,0.0,,,Hagmarksgatan 11B,59.2753,15.2134,0.0,0.447155673153539,2.1715285067778685,3.0832063338677487,2.5895719397184873
1000000,4603.0,78.5,3.0,2026-03-11,-9.0,12739.0,Lägenhet Lundby,https://www.hemnet.se/salda/lagenhet-3rum-lundby-orebro-kommun-mandelstensvagen-95-8654064258263258164,lagenheter,"Såld 11 mar. 2026 Mandelstensvägen 95 Lägenhet Lundby, Örebro kommun 78,5 m² 3 rum 4 603 kr/mån Slutpris 1 000 000 kr -9 % 12 739 kr/m² Bostada Örebro",2026,3,1,Lundby,26.2,58.6,5.52,vår,0,1,medel (60-80),Bostadsrätt,0,2.0,2.0,1,,6852.0,5523.0,1,0,0,,,48.0,78.5,1.0,1.0,87.28662420382166,,Mandelstensvägen 95,59.3088789,15.1843161,4.09143783451306,3.740075465125741,4.11475772659535,7.115837662059498,4.500517840032787
2495000,5438.0,99.0,4.0,2026-03-11,0.0,25202.0,Lägenhet Centralt Väster Örebro,https://www.hemnet.se/salda/lagenhet-4rum-centralt-vaster-orebro-orebro-kommun-gustavsgatan-26-4091825174581306955,lagenheter,"Såld 11 mar. 2026 Gustavsgatan 26 Lägenhet Centralt Väster Örebro, Örebro kommun 99 m² 4 rum 5 438 kr/mån Balkong Slutpris 2 495 000 kr ±0 % 25 202 kr/m² Erik Olsson Fastighetsförmedling",2026,3,1,Centralt Väster Örebro,24.8,54.9,2.62,vår,0,0,stor (80-100),Bostadsrätt,0,3.0,,1,1966.0,6500.0,7798.0,1,0,0,,,60.0,99.0,,0.0,65.65656565656566,,Gustavsgatan 26,59.2753,15.2134,0.0,0.447155673153539,2.1715285067778685,3.0832063338677487,2.5895719397184873
985000,6876.0,85.5,3.0,2026-03-09,-1.0,11520.0,Lägenhet Solhaga,https://www.hemnet.se/salda/lagenhet-3rum-solhaga-orebro-kommun-stolpgrand-16-3932788868046650626,lagenheter,"Såld 9 mar. 2026 Stolpgränd 16 Lägenhet Solhaga, Örebro kommun 85,5 m² 3 rum 6 876 kr/mån Balkong Slutpris 985 000 kr -1 % 11 520 kr/m² Bonova Fastighetsförmedling",2026,3,1,Solhaga,28.5,80.4,8.38,vår,0,1,stor (80-100),Bostadsrätt,0,2.0,2.0,1,,13466.0,1839.0,1,0,0,,,48.0,85.5,1.0,1.0,157.49707602339183,,Stolpgränd 16,59.2732263,15.1583341,3.148210730808629,2.7890906920181515,1.0024494361121132,5.515569225329858,5.564621522768651
2000000,5659.0,66.0,2.0,2026-03-09,-5.0,30303.0,Lägenhet Örnsro,https://www.hemnet.se/salda/lagenhet-2rum-ornsro-orebro-kommun-abackegatan-3-3954931786737276259,lagenheter,"Såld 9 mar. 2026 Åbackegatan 3 Lägenhet Örnsro, Örebro kommun 66 m² 2 rum 5 659 kr/mån Balkong Hiss Slutpris 2 000 000 kr -5 % 30 303 kr/m² Fastighetsbyrån Örebro",2026,3,1,Örnsro,33.0,85.7,3.4,vår,0,1,medel (60-80),Bostadsrätt,0,3.0,5.0,1,1982.0,10326.0,899.0,0,0,0,,,44.0,66.0,0.6,0.0,156.45454545454547,,Åbackegatan 3,59.2753,15.2134,0.0,0.447155673153539,2.1715285067778685,3.0832063338677487,2.5895719397184873
1000000,3259.0,42.0,1.0,2026-03-09,-5.0,23810.0,Lägenhet Centralt norr,https://www.hemnet.se/salda/lagenhet-1rum-centralt-norr-orebro-kommun-phragmensvagen-5-853630745587988760,lagenheter,"Såld 9 mar. 2026 Phragménsvägen 5 Lägenhet Centralt norr, Örebro kommun 42 m² 1 rum 3 259 kr/mån Slutpris 1 000 000 kr -5 % 23 810 kr/m² SkandiaMäklarna Örebro",2026,3,1,Centralt norr,42.0,77.6,3.91,vår,0,1,liten (40-60),Bostadsrätt,0,1.0,3.0,1,,10584.0,1299.0,0,0,0,,,48.0,42.0,0.3333333333333333,0.0,252.0,,Phragménsvägen 5,59.2753,15.2134,0.0,0.447155673153539,2.1715285067778685,3.0832063338677487,2.5895719397184873
3160000,6438.0,117.0,5.0,2026-03-08,6.0,27009.0,Lägenhet Sörbyängen,https://www.hemnet.se/salda/lagenhet-5rum-sorbyangen-orebro-kommun-peppargatan-1-858732162719668614,lagenheter,"Maps Data: Google © 2026 Såld 8 mar. 2026 Peppargatan 1 Lägenhet Sörbyängen, Örebro kommun 117 m² 5 rum 6 438 kr/mån Balkong Hiss Slutpris 3 160 000 kr +6 % 27 009 kr/m² Nordå Fastighetsmäklare",2026,3,1,Sörbyängen,23.4,55.0,2.44,vår,1,0,xl (100-150),Bostadsrätt,0,1.0,4.0,1,2008.0,10860.0,1091.0,1,0,0,,,18.0,117.0,0.25,0.0,92.82051282051282,,Peppargatan 1,59.2536029,15.2266426,2.5323067070890675,2.8767047670436345,3.563892375670674,1.172890998236951,4.068699656773744
